athlete.sex,average_speed,distance,type
F,4.869,20840.9,Ride
M,4.659,34792.3,Ride
F,2.708,3317.7,Run
F,1.935,5188.4,Run
M,2.97,4989.0,Run
M,1.5030000000000001,10829.7,Walk
F,3.929,6507.2,Ride
M,7.886,21125.8,Ride
F,0.39399999999999996,2702.4,Run
F,5.746,40920.8,Ride
M,6.456,37845.3,Ride
F,7.888999999999999,57430.6,Ride
M,0.774,636.3,Walk
F,7.07,19617.9,Ride
M,5.642,57098.6,Ride
M,2.792,5589.8,Run
M,3.04,6490.4,Run
F,2.43,3771.2,Run
M,6.939,22524.3,Ride
F,5.702999999999999,32536.7,Ride
F,5.263999999999999,48738.0,Ride
F,2.853,5021.1,Run
M,4.315,27236.6,Ride
F,7.3020000000000005,44892.7,Ride
F,6.352,2788.7,Ride
F,4.578,25313.2,Ride
M,3.255,8658.0,Run
M,2.263,7252.9,Run
M,6.115,44796.0,Ride
F,0.604,1448.4,Swim
M,4.5360000000000005,53106.5,Ride
F,1.133,10278.6,Run
F,5.166,12068.8,Ride
F,0.0,0.0,Ride
F,2.6710000000000003,3777.2,Ride
M,3.949,11178.8,Ride
F,3.4389999999999996,4412.8,Run
F,1.952,320.2,Workout
M,3.0039999999999996,3244.4,Run
M,6.205,152641.0,Ride
M,4.683,2711.7,Ride
F,7.207999999999999,22350.5,Run
F,3.3369999999999997,8060.0,Run
M,4.355,22909.5,Ride
M,3.02,4026.2,Run
M,8.955,48735.4,Ride
M,0.77,2286.0,Swim
F,3.138,5015.0,Run
F,1.6480000000000001,5705.8,Walk
M,3.0260000000000002,10019.0,Run
F,3.096,11351.3,Run
M,3.425,9954.4,Run
F,7.108,28062.6,Ride
F,4.364,28436.8,Ride
M,7.167999999999999,68012.3,Ride
F,7.736000000000001,20354.7,Ride
F,2.858,5547.4,Run
F,0.516,1271.6,Swim
M,5.731,16419.9,Ride
F,8.148,62521.6,Ride
M,9.41,33941.8,VirtualRide
F,3.093,1741.1,Walk
M,4.631,16932.0,Ride
M,3.468,17571.5,Ride
F,6.279,43227.5,Ride
M,7.5520000000000005,11207.5,Ride
M,4.22,17311.2,Ride
F,4.841,7779.1,Ride
F,2.863,17431.9,Run
F,5.457999999999999,29923.2,Ride
F,1.517,13433.0,Run
M,3.637,8762.3,Ride
F,2.7569999999999997,4799.2,Run
M,5.183,14387.8,Ride
F,4.197,10879.1,Ride
M,8.644,2066.0,Ride
F,3.0180000000000002,4915.6,Run
M,9.276,35823.9,Ride
M,4.956,22171.5,Workout
F,0.0,0.2,Run
M,0.6729999999999999,10900.0,Walk
F,2.568,55729.7,Ride
M,3.088,6896.3,Run
M,7.426,97748.5,Ride
F,6.065,27292.4,Ride
M,4.865,3648.6,Ride
M,2.73,11162.1,Run
F,3.6689999999999996,12456.6,Run
F,2.235,809.0,Run
M,7.2620000000000005,15722.6,Ride
M,3.145,13418.0,Ride
M,3.7239999999999998,25271.5,Ride
M,10.901,7838.1,Ride
F,7.664,50391.2,Ride
F,4.238,34378.8,Ride
F,6.004,46190.5,Ride
M,6.3839999999999995,14937.5,Ride
F,5.696000000000001,9877.0,Ride
M,7.074,16608.8,Ride
F,0.0,0.0,WeightTraining
F,3.21,8607.0,Run
F,7.1160000000000005,98463.7,Ride
M,7.8420000000000005,13072.7,Workout
F,0.0,0.0,Workout
M,5.209,47525.9,Ride
M,2.819,5167.7,Run
F,4.45,25380.8,Ride
F,0.0,0.0,Run
M,5.621,35960.7,Ride
M,2.853,4736.1,Run
F,4.484,31609.0,Ride
F,2.049,1671.7,Ride
M,2.7110000000000003,1361.1,Run
F,7.943,116450.0,Ride
M,4.442,11490.4,Ride
F,2.438,4828.0,Run
M,6.287999999999999,27913.4,Ride
M,2.559,719.0,Ride
M,6.994,43475.3,Ride
F,1.946,5465.3,Run
M,5.977,44543.8,Ride
M,7.857,86629.3,Ride
M,7.57,80381.5,Ride
M,7.193,89158.9,Ride
F,2.6839999999999997,6607.5,Run
F,1.446,7541.8,Run
F,4.441,1190.3,Ride
M,5.586,54995.2,Ride
F,4.773,6457.8,Ride
F,2.001,2579.8,Run
M,2.955,10716.0,Run
M,4.498,12203.5,Ride
F,3.8939999999999997,37288.1,Ride
M,0.17300000000000001,228.9,Swim
F,7.4110000000000005,99232.9,Ride
M,6.0889999999999995,49779.6,Ride
M,3.2089999999999996,13592.4,Run
M,6.696000000000001,57746.7,Ride
F,6.297999999999999,9327.4,Ride
F,6.399,38142.7,Ride
M,5.337999999999999,30901.0,Ride
M,3.2889999999999997,7329.0,Run
M,8.937000000000001,40208.2,Ride
F,2.782,5099.8,Run
M,6.815,58937.5,Ride
M,6.332000000000001,29195.8,Ride
F,2.215,5180.2,Run
F,3.065,6491.9,Rowing
F,8.781,31560.3,Ride
F,1.806,4879.6,Run
M,2.481,12026.9,Run
F,3.408,21305.0,Run
M,0.596,1287.5,Swim
F,9.23,18829.4,Ride
F,5.242999999999999,14249.7,Ride
M,6.513999999999999,27480.5,Ride
F,2.763,8487.8,Run
M,7.397,22426.2,Ride
M,5.496,7689.3,Ride
F,0.0,0.0,WeightTraining
M,5.812,27344.2,Ride
F,2.6519999999999997,10306.0,Run
M,7.965,14202.2,Ride
M,3.569,12531.6,Run
F,2.095,5684.5,Run
F,3.623,9597.3,Ride
M,5.468,10154.6,Ride
F,4.544,47921.5,Ride
M,3.615,36337.2,Run
M,4.012,16381.4,Ride
M,6.4110000000000005,5263.4,Ride
M,1.412,9679.5,Run
M,1.111,1000.0,Hike
M,6.596,36061.2,Ride
M,2.975,14558.9,Run
F,2.3480000000000003,5065.6,Run
F,6.646,27004.4,Ride
M,7.571000000000001,36460.7,Ride
F,3.0039999999999996,4001.6,Run
F,3.125,6000.0,Run
F,2.2640000000000002,3031.3,Run
M,3.089,4408.3,Run
M,5.787000000000001,10427.3,Ride
M,0.0,0.0,Run
F,3.522,2644.7,Ride
F,5.535,3730.3,Ride
M,3.228,11070.0,Run
M,2.968,8100.0,Run
F,1.962,5058.7,Run
F,1.672,2430.1,Walk
F,2.036,3700.0,Run
F,4.206,31367.4,Ride
M,3.364,16825.5,Run
M,4.516,41247.2,Ride
F,2.7489999999999997,4489.4,Run
M,5.2989999999999995,11965.1,Ride
F,3.9760000000000004,11148.3,Snowboard
M,2.5469999999999997,43.3,Run
M,4.254,12515.2,Ride
F,1.4569999999999999,5557.2,Run
F,6.236000000000001,129676.0,Ride
M,2.362,9030.4,Run
F,3.02,9772.6,Run
F,3.543,8084.8,Run
F,5.768,50304.0,Ride
M,3.1319999999999997,7207.3,Ride
F,6.6,61858.0,Ride
M,6.656000000000001,19295.5,Ride
F,3.077,12000.0,Run
M,6.723,46167.3,Ride
M,6.691,11502.4,Ride
F,2.7510000000000003,18558.1,Run
M,2.889,37003.7,Run
F,3.177,6642.7,Run
F,7.403,29117.4,Ride
M,6.6610000000000005,31598.3,Ride
M,4.791,7545.5,Ride
F,7.712000000000001,67430.1,Ride
F,3.616,9897.1,Ride
M,6.489,45555.4,Ride
F,2.1519999999999997,9653.9,Run
M,5.6770000000000005,96889.4,Ride
M,3.9819999999999998,32960.9,Ride
F,1.656,2855.4,Run
M,10.745999999999999,116411.0,Ride
M,6.485,53072.7,Ride
F,3.641,21564.8,Ride
F,1.515,3461.0,Run
M,5.226,7378.9,Ride
M,7.497000000000001,40598.5,Ride
F,3.406,5102.9,Run
F,2.786,6705.1,Run
M,2.741,7484.6,Run
F,2.529,6116.0,Run
M,3.542,15748.1,Ride
F,3.611,8706.4,Ride
F,4.415,32903.8,Ride
F,6.897,116348.0,Ride
M,6.778,65055.0,Ride
F,5.013999999999999,13724.2,Ride
F,3.384,1631.1,Run
M,5.8389999999999995,113388.0,Ride
M,4.658,6064.5,Ride
F,1.536,6588.8,Walk
F,4.171,54708.3,Ride
F,1.723,2710.9,Run
M,3.787,20487.6,Ride
F,0.002,6.9,Run
M,7.336,34470.0,Ride
F,2.5140000000000002,3421.4,Run
F,6.5360000000000005,25250.4,Ride
F,0.0,0.0,Ride
M,2.6910000000000003,5631.8,Run
M,2.676,3290.9,Run
M,3.096,11361.0,Ride
M,2.2,6787.3,Run
M,8.774,42389.3,Ride
F,6.617999999999999,53919.2,Ride
M,4.132,36781.1,Ride
F,3.1639999999999997,2534.5,Run
F,2.838,5277.9,Run
M,3.446,23251.0,Ride
M,0.0,0.0,Ride
F,3.0639999999999996,8058.0,Run
M,3.175,23540.0,Ride
F,0.0,0.0,Ride
F,2.583,15092.9,Run
M,2.7060000000000004,12300.9,Run
F,3.5060000000000002,32638.3,Ride
M,4.055,56689.3,Ride
F,4.026,17216.6,NordicSki
M,1.921,4418.9,Run
M,7.474,21397.2,Ride
F,3.245,11816.5,Run
M,3.824,30081.4,Ride
M,3.339,467.4,Ride
F,1.4469999999999998,5297.9,Walk
M,7.02,51905.0,Ride
M,0.146,7374.0,Run
M,4.24,7204.6,Run
F,4.111000000000001,15653.8,Ride
F,7.3839999999999995,19965.6,Ride
M,2.891,21222.4,Run
F,3.404,5786.0,Run
M,2.909,10150.6,Run
M,2.31,448.2,Ride
M,1.7730000000000001,1544.5,Run
F,5.656000000000001,76676.1,Ride
M,2.761,9994.2,Run
M,2.492,13195.5,Ride
F,6.965,33919.3,Ride
F,4.395,3270.1,Ride
M,5.226,4656.7,Ride
M,6.735,48192.4,Ride
M,6.5329999999999995,15248.4,Ride
F,2.47,8379.1,Ride
M,7.002000000000001,83264.3,Ride
M,5.362,42409.7,Ride
F,2.593,6460.3,Run
M,3.38,7889.3,Run
M,2.6260000000000003,4724.2,Run
F,0.0,0.0,RockClimbing
F,3.1860000000000004,33404.7,Run
F,1.5659999999999998,3398.8,Walk
M,2.8280000000000003,19532.8,Run
M,5.322,12542.8,Ride
F,2.885,7668.0,Run
M,0.0,0.0,Workout
F,5.934,40163.2,Ride
M,7.106,2849.6,Ride
M,5.643,23679.9,Ride
F,4.396,4949.7,Run
F,8.096,54431.9,Ride
M,8.314,44996.0,Ride
F,3.115,11242.2,Run
M,4.498,7430.7,Ride
M,3.533,8708.8,Run
F,8.774,85775.8,Ride
F,3.2430000000000003,6830.3,Run
F,1.1420000000000001,2838.1,Run
M,0.667,300.0,Swim
F,1.402,79.9,Run
F,3.17,24979.7,Ride
M,0.0,0.0,Ride
F,8.0,46520.7,Ride
M,3.159,6097.3,Run
M,2.032,12270.7,Ride
F,2.8710000000000004,33258.6,Ride
F,1.212,16450.0,Ride
M,3.283,8316.2,Run
F,2.6310000000000002,4894.0,Run
F,3.2680000000000002,11063.1,Run
M,6.98,33648.6,Ride
M,7.699,52964.8,Ride
M,6.667000000000001,12000.0,VirtualRide
M,0.0,0.0,Workout
M,4.646,25592.5,Ride
F,7.242000000000001,16032.9,Ride
M,2.71,5453.0,Run
M,3.025,11270.4,Run
F,2.1830000000000003,2967.1,Run
M,2.964,11056.3,Run
M,8.766,51826.1,Ride
M,1.06,9303.2,Ride
F,7.391,120569.0,Ride
M,6.045,7798.4,Ride
F,2.411,4409.6,Run
F,2.602,5180.6,Run
F,4.197,7822.5,Run
M,3.0580000000000003,8150.8,Run
M,3.51,14194.0,Run
M,5.841,52306.1,Ride
M,6.502999999999999,67845.7,Ride
F,0.0,0.0,Workout
F,3.0610000000000004,7151.4,Run
F,6.437,17380.9,Ride
M,7.879,20350.2,Ride
M,5.859,16556.5,Ride
M,7.88,20960.2,Ride
F,2.717,5708.3,Run
F,3.015,2810.2,Run
F,5.505,13223.9,Ride
M,6.854,16662.3,Ride
M,4.614,46973.8,Ride
F,7.593999999999999,50334.5,Ride
M,3.568,34169.9,Ride
F,6.655,63756.7,Ride
F,2.359,3140.0,Run
M,4.657,24094.5,Ride
M,5.87,3892.0,Ride
F,3.091,13679.7,Run
M,1.212,4196.1,Run
M,5.479,6465.7,Ride
F,6.502999999999999,50294.7,Ride
F,2.54,6270.7,Run
F,0.461,750.5,Swim
M,8.618,93325.4,Ride
M,3.806,9643.3,Run
F,6.693,35805.5,Ride
F,5.048,6183.3,Ride
M,7.324,46049.1,Ride
F,4.203,25148.2,Ride
F,1.662,1213.0,Run
M,6.559,60317.5,Ride
F,2.214,4976.0,Run
M,5.779,43105.5,Ride
M,3.1839999999999997,6383.8,Ride
M,2.71,3278.9,Run
F,7.528,34417.5,Ride
F,3.0660000000000003,10167.2,Run
M,6.315,47923.2,Ride
M,5.47,12122.5,Ride
F,7.379,91804.3,Ride
M,0.002,6.8,Ride
F,2.254,13285.0,Run
F,2.399,8610.0,Run
M,4.828,73969.0,Ride
M,8.562000000000001,32724.3,Ride
M,5.048,21880.1,Ride
F,1.6540000000000001,5468.0,Run
F,2.378,9743.5,Run
F,6.68,36902.0,Ride
M,9.885,83466.8,Ride
F,3.388,4936.0,Run
F,5.903,69594.9,Ride
F,2.57,18982.3,Run
F,7.419,53395.8,Ride
F,2.003,11022.2,Run
M,3.0039999999999996,9656.1,Run
F,2.7510000000000003,6551.0,Run
F,2.682,4004.6,Run
F,1.631,6980.0,Walk
M,3.0869999999999997,10114.3,Run
M,3.363,686.0,Ride
M,3.753,23938.3,Ride
F,3.0660000000000003,2033.0,Run
F,0.672,2194.6,Swim
M,4.323,27747.0,Ride
F,4.54,3423.3,Run
F,2.536,13617.9,Run
M,3.323,13330.5,Run
M,7.452000000000001,120016.0,Ride
F,2.7039999999999997,12871.2,Run
M,9.911,186382.0,Ride
M,0.0,0.0,Run
F,2.405,5571.8,Run
F,2.9130000000000003,16156.8,Run
M,3.023,21760.0,Ride
M,7.359,54216.2,Ride
M,7.765,57904.9,Ride
F,0.0,0.0,Workout
M,2.5,3000.0,Run
M,9.043,13447.6,Ride
M,5.191,4962.3,Ride
M,7.371,36724.3,Ride
F,2.668,3217.2,Run
M,8.39,39061.8,Ride
M,3.263,9978.2,Run
M,3.388,7355.7,Run
F,0.7240000000000001,1825.0,Swim
F,3.404,8598.7,Ride
M,8.137,21171.3,Ride
F,8.144,5342.4,Ride
F,2.3609999999999998,5597.5,Run
M,7.346,4583.7,Ride
M,9.017000000000001,25518.0,Ride
M,7.207000000000001,26638.2,Ride
F,5.05,28922.7,Ride
F,5.21,19239.0,Ride
M,8.927,47776.3,Ride
M,2.039,4856.4,Ride
F,1.712,2645.7,Walk
M,4.136,20862.8,Ride
M,3.924,11707.8,Ride
M,6.813,32295.3,Ride
F,8.581,82699.9,Ride
F,5.915,17071.3,Ride
M,5.931,63689.4,Ride
M,7.479,5602.0,Ride
M,3.242,12022.8,Ride
F,3.366,18652.7,Ride
F,7.0360000000000005,36891.3,Ride
M,7.029,27653.1,Ride
F,2.6189999999999998,5442.9,Run
M,5.272,9436.2,Ride
M,6.648,58785.6,Ride
M,4.748,37006.0,Ride
F,6.127999999999999,21600.5,Ride
F,7.0,16211.0,Ride
F,2.6910000000000003,3043.4,Run
M,7.605,31545.5,Ride
M,4.692,511.4,Run
M,2.555,7029.7,Run
M,1.169,9831.8,Walk
M,0.769,2240.0,Swim
M,10.375,84684.5,Ride
F,2.5140000000000002,9200.0,Run
F,2.7110000000000003,11076.4,Run
M,8.308,66520.0,Ride
M,0.28300000000000003,2977.1,Run
F,4.694,32673.3,Ride
M,3.225,10149.3,Run
F,5.556,2000.0,Ride
M,2.97,6272.2,Run
F,2.9,12245.4,Run
M,3.01,11075.5,Run
F,1.6640000000000001,5171.9,Run
M,8.241,77449.0,Ride
M,3.319,6216.3,Run
F,6.34,17770.9,Ride
M,4.97,37378.9,Ride
F,3.5060000000000002,1483.2,Ride
F,2.3169999999999997,4525.3,Run
F,2.498,15012.5,Run
F,3.66,3180.7,Ride
M,6.365,11833.4,Ride
M,3.3080000000000003,6000.0,Run
M,8.783999999999999,56039.3,Ride
F,3.015,14904.0,Run
F,0.95,1000.0,Swim
M,7.311,78807.8,Ride
F,4.542,16238.7,Ride
M,0.0,0.0,Workout
F,1.472,3712.7,Run
M,9.008,55659.0,Ride
M,5.638999999999999,83665.4,Ride
F,2.248,3862.4,Run
M,1.609,2251.1,Run
F,4.006,204.3,Run
M,6.971,13928.2,Ride
F,2.951,3789.3,Run
M,8.167,36442.2,Ride
F,2.6860000000000004,6962.8,Run
F,2.738,6648.4,Run
F,0.7290000000000001,2910.7,Run
M,5.888,23138.3,Ride
F,3.36,20361.1,Ride
M,4.456,3983.7,Ride
M,7.726,79604.3,Ride
M,7.282,110991.0,Ride
M,2.4859999999999998,2918.0,Run
M,4.379,4028.5,Ride
M,1.075,100.0,Swim
F,9.374,35246.1,Ride
F,0.0,0.0,Ride
M,6.893,32146.7,Ride
F,5.327000000000001,22522.1,Ride
F,1.38,2362.3,Run
M,5.629,9102.2,Ride
M,8.049,17377.3,Ride
M,4.867,837.1,Run
M,5.301,40211.3,Ride
M,2.004,10183.3,Ride
M,6.781000000000001,52709.2,Ride
F,0.578,1025.0,Swim
M,3.427,4081.6,Run
F,0.0,0.0,Yoga
F,5.598,15858.4,Ride
M,7.209,89458.3,Ride
F,4.956,88680.6,Ride
M,1.499,2620.9,Run
F,3.0869999999999997,7136.8,Run
M,4.388,27944.1,Ride
F,5.292000000000001,73723.1,Ride
M,7.232,30996.3,Ride
F,2.051,3969.4,Ride
M,3.536,10091.8,Run
M,3.137,3287.7,Run
M,3.4819999999999998,7396.7,Hike
F,7.507999999999999,101011.0,Ride
M,8.021,41083.1,Ride
F,2.608,8061.7,Run
F,2.803,11481.4,Run
F,2.738,4085.0,Run
F,2.1830000000000003,5461.3,Run
M,5.629,15671.5,Ride
M,3.486,11698.5,Run
M,3.1010000000000004,6577.7,Run
M,7.055,42119.7,Ride
F,5.877999999999999,54216.6,Ride
F,1.5630000000000002,5059.5,Run
M,3.318,8630.8,Ride
M,3.508,30420.5,Run
M,2.546,10104.4,Run
F,2.5660000000000003,1570.1,Run
M,3.255,6100.7,Run
M,8.032,28705.0,Ride
M,3.486,13754.4,Run
F,6.651,27833.9,Ride
M,3.455,12335.0,Ride
F,0.0,0.0,Ride
F,1.579,3155.6,Run
F,3.069,8574.0,Ride
M,7.52,128620.0,Ride
M,3.443,14615.0,Run
F,2.958,5010.9,Run
F,5.04,5659.8,Ride
M,9.046,62896.3,Ride
M,4.987,16766.5,Ride
F,6.7589999999999995,40891.1,Ride
F,3.468,8485.6,Ride
M,2.9939999999999998,8032.3,Ride
F,3.029,3801.9,Run
F,2.499,9636.3,Run
F,3.2739999999999996,6076.6,Run
M,0.943,3083.9,Workout
F,5.566,12261.8,Ride
F,2.6489999999999996,5380.3,Run
F,2.14,2352.1,Run
F,5.603,3484.9,Ride
M,3.053,1111.2,Run
M,3.033,14129.3,Run
F,2.877,10032.7,Run
M,4.825,43643.7,Ride
F,2.966,3200.0,Run
F,2.062,4911.9,Run
F,3.57,6616.1,Ride
M,1.518,1609.3,Walk
M,3.804,14472.5,Run
M,0.852,2500.0,Swim
M,2.34,5092.3,Run
F,3.355,6321.3,Run
M,3.975,1204.3,Ride
F,3.051,18264.5,Ride
M,6.94,9417.3,Ride
F,7.236000000000001,34212.6,Ride
M,6.235,22028.3,Ride
F,2.059,8312.6,Run
M,7.942,56672.0,Ride
F,0.687,2700.0,Swim
M,3.738,15858.4,Run
M,0.536,804.7,Swim
M,7.66,65544.2,Ride
F,2.8789999999999996,7243.0,Run
F,1.99,25645.1,Run
F,1.5490000000000002,2532.4,Run
M,3.5069999999999997,25349.9,Ride
M,5.917000000000001,6816.0,Ride
M,3.465,14700.3,Ride
F,2.526,6755.8,Run
F,4.185,2151.2,Ride
F,0.81,3400.0,Swim
F,3.821,32062.1,Ride
F,3.1289999999999996,16898.1,Run
M,2.835,7977.0,Run
F,3.261,11277.1,Run
F,2.5810000000000004,4260.6,Run
M,2.377,11067.5,Ride
M,6.468999999999999,22040.0,Ride
F,2.885,9492.1,Run
M,2.65,1097.3,Run
F,0.0,9.9,Ride
M,4.157,4826.7,Ride
M,4.723,10871.8,Ride
M,8.155,115856.0,Ride
M,6.864,19426.5,Ride
F,6.83,12846.7,Ride
F,5.083,554.0,Run
M,7.159,38192.4,Ride
F,2.423,5467.6,Run
F,1.6640000000000001,5171.9,Run
M,0.0,0.0,Ride
F,6.051,20204.0,Ride
M,3.7960000000000003,19831.9,Run
M,2.992,10245.8,Run
M,7.681,54713.6,Ride
M,6.769,33240.2,Ride
M,3.637,14127.9,Run
M,6.1339999999999995,55896.9,Ride
F,7.732,16577.9,Ride
F,2.475,7611.9,Run
F,2.8339999999999996,10042.4,Run
M,3.048,4638.8,Run
M,4.882,25401.4,Ride
F,3.676,28207.2,Ride
M,2.821,20161.8,Run
F,3.0039999999999996,34344.9,Run
F,2.883,4618.1,Run
M,8.207,71340.5,Ride
M,6.585,14329.2,Ride
M,7.199,39652.6,Ride
F,2.443,10130.6,Run
M,7.289,8280.5,Ride
F,2.589,5408.6,Run
F,3.719,31287.5,Ride
M,8.738,74101.3,Ride
F,6.641,103419.0,Ride
M,8.019,47423.8,Ride
M,6.8420000000000005,86071.5,Ride
F,2.513,1997.6,Run
M,4.878,3404.5,Ride
M,5.582999999999999,38751.0,Ride
F,0.665,2126.0,Swim
F,3.26,24495.6,Run
M,3.4619999999999997,3171.2,Ride
F,3.0980000000000003,9666.1,Run
F,2.8110000000000004,13356.2,Run
F,4.853,9555.0,Ride
F,5.001,5606.2,Ride
M,5.687,40133.6,Ride
F,5.832000000000001,13436.6,Ride
M,3.616,7901.9,Ride
F,3.2460000000000004,5671.5,Run
M,4.7860000000000005,31015.7,Ride
M,4.086,5250.5,Ride
F,2.6919999999999997,5484.1,Run
M,6.882999999999999,46713.8,Ride
M,3.237,10313.2,Run
M,4.628,29015.4,AlpineSki
F,2.855,5712.6,Run
F,6.42,38096.7,Ride
M,6.936,12512.3,Ride
M,3.6830000000000003,2515.6,Run
F,6.165,16503.4,Ride
M,0.001,2.4,Ride
M,8.491,45250.8,Ride
F,2.71,6057.6,Run
F,2.696,916.5,Run
M,2.6319999999999997,5222.5,Run
M,8.141,37194.5,Ride
M,3.0380000000000003,3216.8,Run
F,1.401,3669.3,Run
M,5.943,80061.6,Ride
F,3.195,5990.6,Run
F,1.819,4664.5,Run
M,6.474,111316.0,Ride
F,5.669,52746.0,Ride
F,3.218,1161.7,Run
M,6.846,14855.9,Ride
F,5.278,16545.5,Ride
M,3.346,19604.6,Ride
F,2.225,2077.7,Run
M,8.791,41210.3,Ride
M,5.879,4262.2,Ride
F,1.655,4280.7,Run
F,3.278,1934.2,Run
M,4.573,2720.7,Run
M,7.376,31349.2,Ride
F,0.542,2194.6,Swim
M,0.9390000000000001,753.2,Ride
F,0.613,2000.0,Swim
F,4.78,4923.1,Ride
M,2.91,10016.7,Run
M,6.784,26490.2,Ride
F,4.011,2972.3,Run
F,2.365,9542.2,Run
F,2.647,16181.2,Run
F,6.563,19845.0,Ride
F,1.129,5074.1,Walk
M,8.292,78473.6,Ride
M,2.767,13937.7,Run
F,2.907,19390.1,Run
M,3.415,6089.2,Run
M,7.08,109528.0,Ride
M,0.0,0.0,Run
M,3.0989999999999998,4968.3,Run
F,3.1689999999999996,51560.5,Ride
M,6.744,84526.8,Ride
F,5.482,19749.9,Ride
M,7.9510000000000005,25243.2,Ride
F,3.6060000000000003,7110.6,Run
F,1.73,7729.5,Run
M,0.0,0.0,Ride
F,4.378,7428.9,Ride
M,6.184,24499.9,Ride
M,7.38,29541.1,Ride
M,2.932,16857.5,Ride
F,6.796,27217.8,Ride
F,2.9189999999999996,1342.7,Run
M,7.941,39401.2,Ride
M,6.568,35068.6,Ride
M,8.627,66178.9,Ride
M,3.6630000000000003,21283.1,Run
M,3.302,10598.0,Run
F,1.4580000000000002,3325.9,Run
M,6.894,32608.2,Ride
M,6.364,14528.1,Ride
F,4.351,6504.3,Ride
M,6.725,39458.0,Ride
F,0.0,0.0,Run
M,8.116,17685.2,Ride
M,5.522,6250.4,Ride
M,7.907,35034.2,Ride
M,5.949,23688.7,Run
F,3.6010000000000004,42549.4,Run
M,8.745,86278.6,Ride
F,6.237,36978.5,Ride
M,4.838,12650.3,Ride
M,2.792,7131.8,Run
F,2.64,1652.7,Run
F,2.397,6038.2,Run
F,3.5389999999999997,17657.7,Ride
F,2.687,5049.2,Run
M,7.845,65900.0,Ride
M,4.19,19037.5,Ride
M,3.339,18253.0,Ride
F,2.677,3461.2,Run
M,6.309,23833.6,Ride
M,6.26,23968.8,Ride
F,2.7539999999999996,3932.8,Run
M,6.021,39321.5,Ride
M,5.7620000000000005,52530.6,Ride
F,3.9610000000000003,40940.2,Ride
M,7.5089999999999995,28565.0,Ride
M,8.881,46111.8,Ride
F,9.366,260448.0,Ride
F,5.8839999999999995,38312.9,Ride
F,2.7110000000000003,4812.4,Run
F,2.7960000000000003,9212.3,Run
M,6.053,92384.6,Ride
F,1.605,6105.0,Run
F,3.2760000000000002,5011.9,Run
F,3.181,16096.5,Run
F,3.1189999999999998,8125.1,Run
M,10.347000000000001,37434.0,VirtualRide
M,2.531,7440.0,Run
M,7.006,54881.7,Ride
F,1.538,1848.4,Walk
F,3.7110000000000003,18279.6,Ride
M,5.005,81161.3,Ride
M,4.518,29669.5,Ride
M,6.332999999999999,69531.7,Ride
M,7.7170000000000005,42645.4,Ride
M,3.785,9991.3,Ride
F,2.8689999999999998,8000.0,Run
F,2.028,5409.7,Run
M,7.1770000000000005,133290.0,Ride
F,1.286,3781.5,Walk
M,4.731,4915.9,Ride
M,1.473,6937.0,Run
M,7.103,50846.7,Ride
M,4.167,6841.8,Ride
F,2.105,648.3,Run
F,2.56,2734.6,Run
F,1.726,9086.0,Run
M,6.064,29233.0,Ride
M,5.103,36896.5,Ride
F,4.886,3224.5,Run
M,2.847,4848.2,Run
F,2.312,15009.1,Ride
M,6.303,33275.1,Ride
F,7.433,18062.4,Ride
F,6.379,50889.5,Ride
M,7.563,28398.5,Ride
M,7.392,117189.0,Ride
F,0.845,54997.1,Run
M,6.9910000000000005,28110.5,Ride
F,2.739,18121.9,Run
M,3.28,5257.6,Run
F,8.119,50484.1,Ride
F,2.825,11628.7,Run
M,2.787,11804.6,Ride
F,1.692,1776.1,Walk
M,5.231,16890.8,Ride
M,2.773,9660.2,Run
F,1.177,1107.1,Walk
M,2.89,12413.5,Run
M,3.8710000000000004,9964.2,Run
F,6.18,6977.7,Ride
M,10.774000000000001,40425.9,VirtualRide
F,2.2769999999999997,6665.8,Run
M,6.78,10481.8,Ride
F,0.716,3850.0,Swim
F,2.735,6410.1,Run
M,6.167999999999999,63410.5,Ride
F,2.7060000000000004,5033.3,Run
F,3.7319999999999998,2399.8,Ride
F,0.0,0.0,Swim
M,3.324,3095.0,Run
M,3.055,2251.2,Run
F,7.053999999999999,16075.5,Ride
M,3.1189999999999998,12004.6,Run
F,2.314,5712.3,Run
F,5.462999999999999,23724.6,Ride
F,4.5889999999999995,19951.5,Ride
M,2.655,4800.6,Run
F,3.295,5782.3,Run
M,4.206,14994.3,Ride
F,1.109,3916.8,Walk
F,5.346,6196.2,Ride
F,6.042000000000001,18495.3,Ride
M,4.938,4547.6,Ride
M,5.7410000000000005,43708.6,Ride
M,7.242999999999999,40117.8,Ride
F,7.627000000000001,32551.5,Ride
M,5.942,88382.6,Ride
F,0.79,1580.0,Swim
M,5.678,12195.6,Ride
M,8.579,50084.4,Ride
M,8.212,72991.9,Ride
M,0.823,2468.9,Swim
F,6.902,33977.1,Ride
F,3.237,3117.7,Run
F,1.49,1516.8,Walk
F,1.516,8377.7,Run
F,3.318,8331.3,Run
M,8.005,43962.2,Ride
F,8.53,28958.7,Ride
M,7.9079999999999995,28548.1,Ride
F,2.084,7240.9,Run
F,6.313,35493.4,Ride
F,0.0,0.0,Ride
F,7.297999999999999,32329.9,Ride
F,2.299,9120.9,Ride
F,3.6239999999999997,16176.1,Ride
M,7.332999999999999,14409.1,Ride
F,2.943,7313.3,Ride
