athlete.sex,average_speed,distance,type
F,1.286,1179.2,Walk
M,8.941,32186.9,Ride
F,8.458,34000.0,Ride
M,8.088,74897.3,Ride
F,2.9,9690.5,Ride
M,3.825,18824.7,Ride
F,4.966,25195.0,Ride
M,7.462000000000001,19722.3,Ride
F,2.061,4757.0,Run
F,3.318,8331.3,Run
F,5.358,5969.3,Ride
F,1.585,31762.7,Walk
F,1.02,3000.0,Swim
M,1.515,1839.4,Walk
M,1.291,4573.2,Ride
M,3.656,48074.3,Ride
F,8.298,6240.4,Ride
F,2.9189999999999996,4599.8,Run
F,2.418,5064.1,Run
F,2.095,3253.2,Run
F,4.737,23117.8,Ride
M,5.192,2741.2,Ride
M,6.002999999999999,12965.7,Ride
F,0.647,1737.4,Swim
F,1.8330000000000002,2794.0,Run
F,2.6639999999999997,4761.0,Run
F,3.0010000000000003,2040.8,Run
M,6.024,55507.2,Ride
F,1.911,5664.0,Run
F,0.0,0.0,Ride
M,2.6289999999999996,7184.4,Run
M,4.088,28483.2,Ride
F,5.6770000000000005,8901.4,Ride
F,5.832000000000001,13436.6,Ride
F,5.756,53032.4,Ride
F,2.303,3928.2,Run
M,4.604,31075.7,Ride
F,3.4419999999999997,21156.4,Ride
M,8.017999999999999,50265.6,Ride
F,1.5190000000000001,1852.6,Run
F,5.343999999999999,21743.1,Ride
F,2.512,16477.4,Run
F,1.7109999999999999,13868.6,NordicSki
M,3.147,9436.9,Run
F,2.9610000000000003,6088.2,Run
F,0.833,3000.0,Run
F,2.2230000000000003,5029.7,Run
F,4.341,12830.6,Ride
F,3.216,3280.3,Run
M,8.865,10637.8,Ride
M,8.304,36754.3,Ride
F,8.077,21790.4,Ride
M,5.614,5771.1,Ride
F,3.2960000000000003,10168.3,Ride
F,1.568,5469.4,Run
M,3.196,7749.9,Run
F,2.336,13750.5,Ride
F,2.852,6004.4,Run
F,5.053999999999999,52180.5,Ride
M,5.995,16966.8,Ride
M,6.329,4797.6,Ride
F,2.595,17411.6,Ride
M,0.0,0.0,Ride
F,6.724,29422.6,Ride
F,5.1080000000000005,15641.9,Ride
F,0.0,135000.0,Ride
F,3.051,8473.2,Run
F,3.997,303.8,Ride
F,0.0,0.0,Workout
F,0.0,0.0,Ride
M,7.489,29663.7,Ride
F,3.1189999999999998,6406.6,Run
M,6.935,81122.7,Ride
M,8.253,63546.8,Ride
F,2.9960000000000004,33796.2,Run
F,6.006,3297.2,Ride
F,2.6519999999999997,10306.0,Run
M,6.946000000000001,38459.7,Ride
M,3.867,5007.3,Run
M,3.426,7831.9,Run
M,7.162000000000001,70890.2,Ride
M,2.84,10476.9,Run
M,0.71,1225.0,Swim
M,8.326,91580.5,Ride
F,6.067,11508.2,Ride
M,7.557,57986.9,Ride
M,4.688,2339.4,Ride
M,4.766,28167.0,Ride
F,5.891,17590.1,Ride
M,1.685,10462.5,Run
M,6.2589999999999995,11265.4,Ride
M,3.755,13518.5,Run
M,1.359,5985.2,Run
M,3.4619999999999997,4016.0,Run
F,6.057,37834.9,Ride
M,5.817,68593.6,Ride
M,3.978,47432.2,Ride
F,2.802,8001.1,Run
M,3.2739999999999996,5022.7,Run
F,3.022,12148.7,Run
M,8.126,3485.9,Ride
F,7.513999999999999,37278.5,Ride
M,4.6930000000000005,32799.6,Ride
M,5.74,58323.4,Ride
M,2.6630000000000003,8253.8,Run
M,2.637,5033.9,Run
M,2.112,2823.9,Run
M,5.811,52376.7,Ride
M,3.333,13000.0,Run
F,1.7919999999999998,7075.8,Run
F,2.494,6629.2,Run
M,6.162000000000001,13630.0,Ride
F,3.4960000000000004,2488.8,Ride
F,1.4569999999999999,5077.0,Run
M,3.222,22795.8,Ride
M,5.018,1379.9,Ride
M,3.674,11390.5,Run
M,8.377,25592.6,Ride
F,2.3680000000000003,3637.0,Run
M,5.48,37298.9,Ride
F,2.9530000000000003,6437.4,Run
M,3.237,11265.4,Run
F,2.7939999999999996,11887.6,Run
M,7.011,8750.1,Ride
M,1.291,364.0,Run
F,6.862,7486.0,Ride
M,5.794,26402.9,Ride
F,2.659,9819.3,Run
M,6.862,21553.1,Ride
F,2.355,24209.9,Run
F,2.636,4832.7,Run
M,6.466,25648.8,Ride
F,4.395,53239.7,Ride
M,7.91,78610.0,Ride
M,8.052,29381.0,Ride
M,0.971,759.0,Walk
F,3.398,8831.1,Ride
F,2.6319999999999997,10567.7,Ride
F,3.187,5083.4,Run
M,4.539,11405.8,Ride
M,2.5380000000000003,9100.0,Run
M,2.925,6541.0,Run
M,9.586,24138.3,Ride
F,5.617999999999999,12152.6,Ride
F,2.208,8880.0,Run
M,1.825,8151.6,Ride
M,0.95,13.3,Run
M,7.0520000000000005,1537.4,Ride
F,8.516,59920.6,Ride
F,1.39,4639.1,Run
M,6.365,12544.5,Ride
M,3.2569999999999997,14736.0,Ride
F,5.343,13875.4,Ride
M,7.447,52085.9,Ride
F,7.2860000000000005,42159.3,Ride
M,8.262,42796.6,Ride
M,3.736,3553.1,Ride
M,3.8360000000000003,14558.5,Ride
M,5.246,34773.9,Ride
F,2.5340000000000003,9020.2,Run
M,1.909,1244.6,Run
F,4.615,21202.8,Ride
M,7.361000000000001,77513.8,Ride
M,6.676,9947.5,Ride
M,1.538,4935.6,Walk
M,7.99,25095.6,Ride
M,7.855,40217.3,Ride
F,2.8739999999999997,6006.3,Run
M,6.279,17098.1,Ride
F,2.41,5134.3,Run
F,7.62,19460.7,Ride
M,4.971,49524.0,Ride
F,5.8020000000000005,22072.4,Ride
F,7.922999999999999,100023.0,Ride
F,2.736,5695.9,Run
F,1.652,6032.1,Run
M,2.8280000000000003,12811.9,Ride
M,7.132999999999999,41656.0,Ride
M,3.572,7894.8,Run
M,4.843999999999999,9241.4,Ride
M,2.9339999999999997,26044.7,Ride
F,2.9789999999999996,16226.3,Run
M,8.448,69655.0,Ride
M,2.181,12022.9,Ride
F,2.6430000000000002,11002.0,Run
M,7.602,16215.5,Ride
M,9.166,21687.0,Ride
F,2.291,11763.3,Run
M,8.485,26322.0,Ride
F,3.2910000000000004,12740.9,Run
M,4.356,38450.0,Ride
M,7.409,64039.5,Ride
F,3.002,6733.1,Run
F,8.311,48953.3,Ride
F,1.003,5435.1,Hike
F,4.11,44608.9,Ride
F,3.165,6482.3,Run
F,1.912,6726.6,Run
M,10.067,44184.4,Ride
F,1.699,2199.7,Run
F,1.4340000000000002,4830.6,Run
M,2.801,4515.8,Run
M,4.55,57224.6,Ride
M,8.077,31153.6,Ride
F,2.553,4705.9,Run
M,6.0760000000000005,16509.6,Ride
M,8.735,32950.0,Ride
F,3.056,55338.4,Ride
M,7.211,29284.9,Ride
M,7.915,53056.0,Ride
F,2.76,4382.2,Run
F,2.364,16016.5,Run
F,3.6010000000000004,14608.1,Run
M,3.9810000000000003,44136.2,Ride
M,8.025,47024.8,Ride
F,2.233,26859.1,Ride
M,6.8389999999999995,45361.0,Ride
F,5.207000000000001,68076.4,Ride
M,5.891,5891.0,Ride
M,4.277,2446.7,Run
M,7.095,40550.5,Ride
M,2.513,14808.9,Run
F,0.643,2701.5,Walk
M,4.815,30216.1,Ride
M,5.124,23167.3,Ride
M,3.387,23200.7,Ride
M,6.644,26521.0,Ride
M,6.73,29713.4,Ride
F,4.715,75199.8,Ride
F,3.3739999999999997,14773.0,Run
M,7.606,83724.6,Ride
M,4.758,14534.4,Ride
M,3.523,14388.7,Run
M,2.5860000000000003,18238.5,Run
M,1.518,4691.6,Walk
F,2.4619999999999997,6423.3,Run
M,5.086,17897.3,Ride
F,2.6180000000000003,7004.3,Run
M,4.4719999999999995,21570.9,Ride
F,4.527,18951.9,Ride
M,3.452,3510.9,Ride
M,4.921,8951.7,Ride
M,6.653,58227.4,Ride
F,2.97,16131.3,Run
F,3.847,5293.9,Ride
F,3.112,2645.5,Run
F,1.693,2976.4,Run
M,8.493,21470.9,Ride
M,3.543,11340.8,Run
M,6.893,5858.9,Ride
M,3.915,30731.2,Ride
M,6.35,49041.8,Ride
F,0.835,1828.8,Swim
F,6.496,20227.1,Ride
F,8.961,32231.6,Ride
